,Name,KosherType,Prep_Ease,Prep_Time,Cook_Time,Rank,Scaling,TA,times_made,Timestamp,recipe_suggestion,Name_HE,Kids
0,vegetables,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
1,lettuce cherry tomatoes mushrooms,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
2,lettuce summer fruits,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
3,cabbage mushrooms tomatoes,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
4,cabbage sour,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
5,cherry tomatoes olives,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
6,mushrooms scallions,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,1
